GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,C_CITYA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,TRBL_SUBA,AITS,ANRCA,CBSAA,CSAA,METDIVA,MEMI,NECTAA,C_NECTAA,NECTADIVA,URB_AREAA,CDA,STLEG_UPA,STLEG_LOA,ZCTAA,SUBMCDA,SD_ELMA,SD_SECA,SD_UNIA,UR,PCI,PUMAA,GEOID,TRBL_CTA,TRBL_BGA,NAME_E,AMRIE001,AMRIE002,AMRIE003,AMRIE004,AMRIE005,AMRIE006,AMRIE007,AMRIE008,AMRIE009,AMRIE010,AMRIE011,AMRIE012,AMRIE013,AMRIE014,AMRIE015,AMRIE016,AMRIE017,NAME_M,AMRIM001,AMRIM002,AMRIM003,AMRIM004,AMRIM005,AMRIM006,AMRIM007,AMRIM008,AMRIM009,AMRIM010,AMRIM011,AMRIM012,AMRIM013,AMRIM014,AMRIM015,AMRIM016,AMRIM017
"G0800710","2016-2020","CO",,,"Colorado","08","Las Animas County","071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08071",,,"Las Animas County, Colorado",6750,2905,793,2112,666,164,502,1730,1105,303,272,50,1449,1222,104,53,70,"Las Animas County, Colorado",270,245,135,194,182,86,173,155,138,108,84,35,210,164,64,29,48
"G0800730","2016-2020","CO",,,"Colorado","08","Lincoln County","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08073",,,"Lincoln County, Colorado",1513,766,149,617,54,22,32,463,391,30,38,4,230,183,9,23,15,"Lincoln County, Colorado",642,274,145,148,71,40,44,98,76,31,35,7,264,156,30,35,64
"G0800750","2016-2020","CO",,,"Colorado","08","Logan County","075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08075",,,"Logan County, Colorado",8301,3940,1374,2566,409,111,298,1817,1187,240,338,52,2135,1719,101,238,77,"Logan County, Colorado",202,346,212,291,143,51,137,275,224,104,150,44,322,319,62,153,84
"G0800770","2016-2020","CO",,,"Colorado","08","Mesa County","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08077",,,"Mesa County, Colorado",59750,28736,10242,18494,2257,674,1583,15995,9605,2695,2676,1019,12762,8144,1047,1613,1958,"Mesa County, Colorado",657,926,739,711,341,196,295,770,637,418,385,247,665,543,281,363,382
"G0800790","2016-2020","CO",,,"Colorado","08","Mineral County","079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08079",,,"Mineral County, Colorado",394,231,45,186,9,8,1,65,55,5,5,0,89,77,3,0,9,"Mineral County, Colorado",93,53,28,43,16,15,3,38,36,8,7,12,48,48,5,12,12
"G0800810","2016-2020","CO",,,"Colorado","08","Moffat County","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08081",,,"Moffat County, Colorado",5218,2455,789,1666,522,285,237,1250,676,380,156,38,991,807,57,72,55,"Moffat County, Colorado",207,223,152,191,156,138,96,234,194,142,78,37,175,153,43,48,56
"G0800830","2016-2020","CO",,,"Colorado","08","Montezuma County","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08083",,,"Montezuma County, Colorado",10521,5686,1674,4012,559,145,414,2443,1415,370,553,105,1833,1404,90,165,174,"Montezuma County, Colorado",262,369,256,283,181,89,145,287,224,130,144,55,268,255,94,105,126
"G0800850","2016-2020","CO",,,"Colorado","08","Montrose County","085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08085",,,"Montrose County, Colorado",17483,9938,3331,6607,708,258,450,4219,2866,427,802,124,2618,1813,120,562,123,"Montrose County, Colorado",338,611,380,535,202,133,158,421,333,143,210,75,319,264,71,200,77
"G0800870","2016-2020","CO",,,"Colorado","08","Morgan County","087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08087",,,"Morgan County, Colorado",10863,5717,2815,2902,650,211,439,2657,1610,595,367,85,1839,1036,300,262,241,"Morgan County, Colorado",267,384,275,289,168,132,125,307,214,171,136,54,242,177,142,99,131
"G0800890","2016-2020","CO",,,"Colorado","08","Otero County","089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08089",,,"Otero County, Colorado",7761,3407,1249,2158,521,173,348,2232,1363,291,505,73,1601,1255,112,104,130,"Otero County, Colorado",240,306,238,240,139,95,136,322,239,104,145,48,214,183,84,60,100
